,ts_code,symbol,name,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
1186,002729.SZ,002729,好利来,福建,元器件,好利来(中国)电子科技股份有限公司,"Hollyland (China) Electronics Technology Corp.,Ltd.",中小板,SZSE,CNY,L,20140912,,N
1187,002730.SZ,002730,电光科技,浙江,电气设备,电光防爆科技股份有限公司,"Dianguang Explosion-Proof Technology Co., Ltd.",中小板,SZSE,CNY,L,20141009,,N
1188,002731.SZ,002731,萃华珠宝,辽宁,服饰,沈阳萃华金银珠宝股份有限公司,"Shenyang Cuihua Gold and Silver Jewelry Co., Ltd.",中小板,SZSE,CNY,L,20141104,,N
1189,002732.SZ,002732,燕塘乳业,广东,乳制品,广东燕塘乳业股份有限公司,"Guangdong Yantang Dairy Co., Ltd.",中小板,SZSE,CNY,L,20141205,,N
1190,002733.SZ,002733,雄韬股份,深圳,电气设备,深圳市雄韬电源科技股份有限公司,"Shenzhen Center Power Tech Co.,Ltd.",中小板,SZSE,CNY,L,20141203,,N
1191,002734.SZ,002734,利民股份,江苏,农药化肥,利民化工股份有限公司,"LIMIN Chemical Co.,Ltd.",中小板,SZSE,CNY,L,20150127,,N
1192,002735.SZ,002735,王子新材,深圳,塑料,深圳王子新材料股份有限公司,"Shenzhen Prince New Materials Co.,Ltd.",中小板,SZSE,CNY,L,20141203,,N
1193,002736.SZ,002736,国信证券,深圳,证券,国信证券股份有限公司,"Guosen Securities Co.,Ltd.",中小板,SZSE,CNY,L,20141229,,S
1194,002737.SZ,002737,葵花药业,黑龙江,中成药,葵花药业集团股份有限公司,"Sunflower Pharmaceutical Group Co.,Ltd",中小板,SZSE,CNY,L,20141230,,S
1195,002738.SZ,002738,中矿资源,北京,建筑施工,中矿资源集团股份有限公司,"Sinomine Resource Group Co., Ltd.",中小板,SZSE,CNY,L,20141230,,N
1196,002739.SZ,002739,万达电影,北京,影视音像,万达电影股份有限公司,"WANDA FILM HOLDING CO., LTD",中小板,SZSE,CNY,L,20150122,,S
1197,002740.SZ,002740,爱迪尔,深圳,服饰,深圳市爱迪尔珠宝股份有限公司,"Shenzhen Ideal Jewellery Co.,Ltd.",中小板,SZSE,CNY,L,20150122,,N
1198,002741.SZ,002741,光华科技,广东,化工原料,广东光华科技股份有限公司,"Guangdong Guanghua Sci-Tech Co., Ltd",中小板,SZSE,CNY,L,20150216,,S
1199,002742.SZ,002742,三圣股份,重庆,其他建材,重庆三圣实业股份有限公司,"Chongqing Sansheng Industrial Co.,Ltd.",中小板,SZSE,CNY,L,20150217,,N
1200,002743.SZ,002743,富煌钢构,安徽,钢加工,安徽富煌钢构股份有限公司,"Anhui Fuhuang Steel Structure Co.,Ltd.",中小板,SZSE,CNY,L,20150217,,N
1201,002745.SZ,002745,木林森,广东,半导体,木林森股份有限公司,"MLS Co.,Ltd.",中小板,SZSE,CNY,L,20150217,,S
1202,002746.SZ,002746,仙坛股份,山东,农业综合,山东仙坛股份有限公司,"Shandong Xiantan Co.,Ltd.",中小板,SZSE,CNY,L,20150216,,N
1203,002747.SZ,002747,埃斯顿,江苏,机械基件,南京埃斯顿自动化股份有限公司,"Estun Automation Co.,Ltd",中小板,SZSE,CNY,L,20150320,,S
1204,002748.SZ,002748,世龙实业,江西,化工原料,江西世龙实业股份有限公司,"Jiangxi Selon Industrial Co., Ltd.",中小板,SZSE,CNY,L,20150319,,N
1205,002749.SZ,002749,国光股份,四川,农药化肥,四川国光农化股份有限公司,"Sichuan Guoguang Agrochemical Co., Ltd.",中小板,SZSE,CNY,L,20150320,,N
1206,002750.SZ,002750,龙津药业,云南,中成药,昆明龙津药业股份有限公司,"Kunming Longjin Pharmaceutical Co., Ltd.",中小板,SZSE,CNY,L,20150324,,N
1207,002751.SZ,002751,易尚展示,深圳,家居用品,深圳市易尚展示股份有限公司,"Shenzhen ESUN Display Co., Ltd.",中小板,SZSE,CNY,L,20150424,,N
1208,002752.SZ,002752,昇兴股份,福建,广告包装,昇兴集团股份有限公司,"Shengxing Group Co.,Ltd.",中小板,SZSE,CNY,L,20150422,,S
1209,002753.SZ,002753,永东股份,山西,化工原料,山西永东化工股份有限公司,"Shanxi Yongdong Chemistry Industry Co.,Ltd.",中小板,SZSE,CNY,L,20150519,,N
1210,002755.SZ,002755,奥赛康,北京,化学制药,北京奥赛康药业股份有限公司,"Beijing Aosaikang Pharmaceutical Co., Ltd.",中小板,SZSE,CNY,L,20150515,,N
1211,002756.SZ,002756,永兴特钢,浙江,特种钢,永兴特种不锈钢股份有限公司,"Yongxing Special Stainless Steel Co.,Ltd.",中小板,SZSE,CNY,L,20150515,,N
1212,002757.SZ,002757,南兴装备,广东,家居用品,南兴装备股份有限公司,"Nanxing Machinery Co., Ltd.",中小板,SZSE,CNY,L,20150527,,N
1213,002758.SZ,002758,华通医药,浙江,医药商业,浙江华通医药股份有限公司,"Zhejiang Huatong Pharmaceutical Co., Ltd.",中小板,SZSE,CNY,L,20150527,,N
1214,002759.SZ,002759,天际股份,广东,家用电器,广东天际电器股份有限公司,"Guangdong Tonze Electric Co.,Ltd.",中小板,SZSE,CNY,L,20150528,,N
1215,002760.SZ,002760,凤形股份,安徽,机械基件,安徽省凤形耐磨材料股份有限公司,"Anhui Fengxing Wear Resistant Materials Co.,Ltd.",中小板,SZSE,CNY,L,20150611,,N
1216,002761.SZ,002761,多喜爱,湖南,纺织,多喜爱集团股份有限公司,"Dohia Group Co., Ltd.",中小板,SZSE,CNY,L,20150610,,N
1217,002762.SZ,002762,金发拉比,广东,服饰,金发拉比妇婴童用品股份有限公司,"Jinfa Labi Maternity & Baby Articles Co., Ltd.",中小板,SZSE,CNY,L,20150610,,N
1218,002763.SZ,002763,汇洁股份,深圳,服饰,深圳汇洁集团股份有限公司,"Shenzhen Huijie Group Co., Ltd.",中小板,SZSE,CNY,L,20150610,,N
1219,002765.SZ,002765,蓝黛传动,重庆,汽车配件,重庆蓝黛动力传动机械股份有限公司,"Chongqing Landai Powertrain Corp., Ltd.",中小板,SZSE,CNY,L,20150612,,N
1220,002766.SZ,002766,索菱股份,深圳,汽车配件,深圳市索菱实业股份有限公司,"Shenzhen Soling Industrial Co.,Ltd.",中小板,SZSE,CNY,L,20150611,,N
1221,002767.SZ,002767,先锋电子,浙江,电器仪表,杭州先锋电子技术股份有限公司,"Hangzhou Innover Technology Co., Ltd.",中小板,SZSE,CNY,L,20150612,,N
1222,002768.SZ,002768,国恩股份,山东,塑料,青岛国恩科技股份有限公司,"Qingdao Gon Technology Co., Ltd.",中小板,SZSE,CNY,L,20150630,,S
1223,002769.SZ,002769,普路通,深圳,仓储物流,深圳市普路通供应链管理股份有限公司,"Shenzhen Prolto Supply Chain Management Co., Ltd.",中小板,SZSE,CNY,L,20150629,,N
1224,002770.SZ,002770,科迪乳业,河南,乳制品,河南科迪乳业股份有限公司,"Henan Kedi Dairy Co.,Ltd.",中小板,SZSE,CNY,L,20150630,,N
1225,002771.SZ,002771,真视通,北京,软件服务,北京真视通科技股份有限公司,Beijing Transtrue Technology Inc.,中小板,SZSE,CNY,L,20150629,,N
1226,002772.SZ,002772,众兴菌业,甘肃,种植业,天水众兴菌业科技股份有限公司,"Tianshui Zhongxing Bio-Technology Co.,Ltd.",中小板,SZSE,CNY,L,20150626,,N
1227,002773.SZ,002773,康弘药业,四川,中成药,成都康弘药业集团股份有限公司,"Chengdu Kanghong Pharmaceutical Group Co., Ltd",中小板,SZSE,CNY,L,20150626,,S
1228,002774.SZ,002774,快意电梯,广东,运输设备,快意电梯股份有限公司,"IFE Elevators Co.,Ltd.",中小板,SZSE,CNY,L,20170324,,N
1229,002775.SZ,002775,文科园林,深圳,建筑施工,深圳文科园林股份有限公司,"Shenzhen Wenke Landscape Co.,Ltd.",中小板,SZSE,CNY,L,20150629,,N
1230,002776.SZ,002776,柏堡龙,广东,服饰,广东柏堡龙股份有限公司,"Guangdong Bobaolon Co.,Ltd.",中小板,SZSE,CNY,L,20150626,,N
1231,002777.SZ,002777,久远银海,四川,软件服务,四川久远银海软件股份有限公司,"Sichuan Jiuyuan Yinhai Software Co.,Ltd",中小板,SZSE,CNY,L,20151231,,N
1232,002778.SZ,002778,高科石化,江苏,石油加工,江苏高科石化股份有限公司,"Jiangsu Gaoke Petrochemical Co., Ltd",中小板,SZSE,CNY,L,20160106,,N
1233,002779.SZ,002779,中坚科技,浙江,农用机械,浙江中坚科技股份有限公司,"Zhejiang Zhongjian Technology Co ,.Ltd.",中小板,SZSE,CNY,L,20151209,,N
